id,ville,lat,lon,timezone,timezone_offset,daily,date,temperature,humidite,temps_majeur,nuages
0,Mont Saint Michel,48.6907,5.8826,Europe/Paris,7200,"{'dt': 1692356400, 'sunrise': 1692333196, 'sunset': 1692384473, 'moonrise': 1692339720, 'moonset': 1692388200, 'moon_phase': 0.06, 'summary': 'Expect a day of partly cloudy with clear spells', 'temp': {'day': 28.56, 'min': 16.94, 'max': 30.9, 'night': 21.45, 'eve': 28.6, 'morn': 17.05}, 'feels_like': {'day': 29, 'night': 21.66, 'eve': 29.61, 'morn': 17.24}, 'pressure': 1014, 'humidity': 49, 'dew_point': 16.81, 'wind_speed': 3.09, 'wind_deg': 90, 'wind_gust': 5.1, 'weather': [{'id': 801, 'main': 'Clouds', 'description': 'peu nuageux', 'icon': '02d'}], 'clouds': 19, 'pop': 0.16, 'uvi': 6.67}",18/08/2023,30.9,49,Clouds,19
0,Mont Saint Michel,48.6907,5.8826,Europe/Paris,7200,"{'dt': 1692442800, 'sunrise': 1692419680, 'sunset': 1692470763, 'moonrise': 1692430200, 'moonset': 1692475380, 'moon_phase': 0.09, 'summary': 'There will be partly cloudy today', 'temp': {'day': 25.41, 'min': 19.81, 'max': 28.58, 'night': 21.36, 'eve': 25.85, 'morn': 20.67}, 'feels_like': {'day': 25.68, 'night': 21.69, 'eve': 26.34, 'morn': 20.49}, 'pressure': 1018, 'humidity': 64, 'dew_point': 18.37, 'wind_speed': 3.32, 'wind_deg': 252, 'wind_gust': 6.36, 'weather': [{'id': 804, 'main': 'Clouds', 'description': 'couvert', 'icon': '04d'}], 'clouds': 100, 'pop': 0, 'uvi': 6.85}",19/08/2023,28.58,64,Clouds,100
0,Mont Saint Michel,48.6907,5.8826,Europe/Paris,7200,"{'dt': 1692529200, 'sunrise': 1692506165, 'sunset': 1692557052, 'moonrise': 1692520560, 'moonset': 1692562560, 'moon_phase': 0.12, 'summary': 'The day will start with partly cloudy through the late morning hours, transitioning to clearing', 'temp': {'day': 27.95, 'min': 18.74, 'max': 29.63, 'night': 22.12, 'eve': 28.36, 'morn': 19.57}, 'feels_like': {'day': 28.76, 'night': 22.27, 'eve': 30.12, 'morn': 19.7}, 'pressure': 1021, 'humidity': 54, 'dew_point': 18.18, 'wind_speed': 1.91, 'wind_deg': 15, 'wind_gust': 2.27, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'ciel dégagé', 'icon': '01d'}], 'clouds': 0, 'pop': 0.06, 'uvi': 6.62}",20/08/2023,29.63,54,Clear,0
0,Mont Saint Michel,48.6907,5.8826,Europe/Paris,7200,"{'dt': 1692615600, 'sunrise': 1692592650, 'sunset': 1692643339, 'moonrise': 1692611100, 'moonset': 1692649800, 'moon_phase': 0.15, 'summary': 'Expect a day of partly cloudy with clear spells', 'temp': {'day': 29.6, 'min': 19.46, 'max': 30.54, 'night': 23.17, 'eve': 26.33, 'morn': 19.67}, 'feels_like': {'day': 30.76, 'night': 23.4, 'eve': 26.33, 'morn': 19.83}, 'pressure': 1020, 'humidity': 52, 'dew_point': 19.19, 'wind_speed': 2.37, 'wind_deg': 16, 'wind_gust': 3, 'weather': [{'id': 802, 'main': 'Clouds', 'description': 'partiellement nuageux', 'icon': '03d'}], 'clouds': 31, 'pop': 0, 'uvi': 6}",21/08/2023,30.54,52,Clouds,31
0,Mont Saint Michel,48.6907,5.8826,Europe/Paris,7200,"{'dt': 1692702000, 'sunrise': 1692679135, 'sunset': 1692729626, 'moonrise': 1692701760, 'moonset': 1692737220, 'moon_phase': 0.19, 'summary': 'Expect a day of partly cloudy with rain', 'temp': {'day': 30.82, 'min': 20.42, 'max': 32.21, 'night': 24.65, 'eve': 27.66, 'morn': 21.47}, 'feels_like': {'day': 32.51, 'night': 25.08, 'eve': 29.69, 'morn': 21.87}, 'pressure': 1016, 'humidity': 51, 'dew_point': 19.8, 'wind_speed': 3.22, 'wind_deg': 78, 'wind_gust': 5.29, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}], 'clouds': 4, 'pop': 0.33, 'rain': 0.14, 'uvi': 6.7}",22/08/2023,32.21,51,Rain,4
0,Mont Saint Michel,48.6907,5.8826,Europe/Paris,7200,"{'dt': 1692788400, 'sunrise': 1692765619, 'sunset': 1692815911, 'moonrise': 1692792660, 'moonset': 1692824880, 'moon_phase': 0.22, 'summary': 'Expect a day of partly cloudy with rain', 'temp': {'day': 29.79, 'min': 20.49, 'max': 30.31, 'night': 20.49, 'eve': 25.1, 'morn': 21.67}, 'feels_like': {'day': 31.89, 'night': 20.97, 'eve': 25.62, 'morn': 22.11}, 'pressure': 1013, 'humidity': 57, 'dew_point': 20.83, 'wind_speed': 3.91, 'wind_deg': 277, 'wind_gust': 7.57, 'weather': [{'id': 501, 'main': 'Rain', 'description': 'pluie modérée', 'icon': '10d'}], 'clouds': 2, 'pop': 0.79, 'rain': 3.77, 'uvi': 7}",23/08/2023,30.31,57,Rain,2
0,Mont Saint Michel,48.6907,5.8826,Europe/Paris,7200,"{'dt': 1692874800, 'sunrise': 1692852104, 'sunset': 1692902196, 'moonrise': 1692883680, 'moonset': 1692913020, 'moon_phase': 0.25, 'summary': 'Expect a day of partly cloudy with rain', 'temp': {'day': 22.35, 'min': 14.05, 'max': 22.35, 'night': 14.05, 'eve': 17.76, 'morn': 16.31}, 'feels_like': {'day': 22.02, 'night': 13.42, 'eve': 17.37, 'morn': 16.32}, 'pressure': 1017, 'humidity': 53, 'dew_point': 12.63, 'wind_speed': 4.9, 'wind_deg': 296, 'wind_gust': 6.66, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}], 'clouds': 2, 'pop': 0.79, 'rain': 1.43, 'uvi': 7}",24/08/2023,22.35,53,Rain,2
0,Mont Saint Michel,48.6907,5.8826,Europe/Paris,7200,"{'dt': 1692961200, 'sunrise': 1692938589, 'sunset': 1692988479, 'moonrise': 1692974700, 'moonset': 0, 'moon_phase': 0.29, 'summary': 'Expect a day of partly cloudy with rain', 'temp': {'day': 17.91, 'min': 11.15, 'max': 19.48, 'night': 11.15, 'eve': 12.52, 'morn': 13.19}, 'feels_like': {'day': 17.3, 'night': 10.78, 'eve': 12.05, 'morn': 12.55}, 'pressure': 1009, 'humidity': 59, 'dew_point': 9.92, 'wind_speed': 5.92, 'wind_deg': 238, 'wind_gust': 10.42, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}], 'clouds': 100, 'pop': 0.66, 'rain': 1.25, 'uvi': 7}",25/08/2023,19.48,59,Rain,100
1,St Malo,48.6495,-2.026,Europe/Paris,7200,"{'dt': 1692360000, 'sunrise': 1692335101, 'sunset': 1692386363, 'moonrise': 1692341760, 'moonset': 1692390120, 'moon_phase': 0.06, 'summary': 'Expect a day of partly cloudy with rain', 'temp': {'day': 25.61, 'min': 17.83, 'max': 26.35, 'night': 20.02, 'eve': 21.55, 'morn': 18.63}, 'feels_like': {'day': 25.77, 'night': 19.98, 'eve': 21.56, 'morn': 18.87}, 'pressure': 1010, 'humidity': 59, 'dew_point': 17.01, 'wind_speed': 6.57, 'wind_deg': 176, 'wind_gust': 13.1, 'weather': [{'id': 500, 'main': 'Rain', 'description': 'légère pluie', 'icon': '10d'}], 'clouds': 40, 'pop': 0.4, 'rain': 0.39, 'uvi': 5.84}",18/08/2023,26.35,59,Rain,40
1,St Malo,48.6495,-2.026,Europe/Paris,7200,"{'dt': 1692446400, 'sunrise': 1692421586, 'sunset': 1692472653, 'moonrise': 1692432120, 'moonset': 1692477240, 'moon_phase': 0.09, 'summary': 'Expect a day of partly cloudy with clear spells', 'temp': {'day': 23.29, 'min': 17, 'max': 23.94, 'night': 17.48, 'eve': 20.48, 'morn': 17.03}, 'feels_like': {'day': 23.19, 'night': 17.53, 'eve': 20.46, 'morn': 17.19}, 'pressure': 1017, 'humidity': 58, 'dew_point': 13.93, 'wind_speed': 7.82, 'wind_deg': 210, 'wind_gust': 13.54, 'weather': [{'id': 800, 'main': 'Clear', 'description': 'ciel dégagé', 'icon': '01d'}], 'clouds': 1, 'pop': 0, 'uvi': 6.69}",19/08/2023,23.94,58,Clear,1
